sales_id,order_id,full_date,year,quarter,month,month_name,region_name,country,sales_manager,channel_name,category,subcategory,product_name,customer_name,units_sold,revenue,cost,profit,discount_pct
1,SO-20230101-001,2023-01-01,2023,1,1,January,North America,USA,Ava Brooks,Partner,Data,Warehouse,SQL Warehouse Enterprise,Blue Peak Energy,5,27900.0,18000.0,9900.0,0.1
2,SO-20230101-002,2023-01-01,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Platform,Cloud,ML Forecast Add-on,Vertex Finance,5,20700.0,11000.0,9700.0,0.0
3,SO-20230101-003,2023-01-01,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Data,Warehouse,SQL Warehouse Enterprise,Urban Mobility Co,7,41230.0,25200.0,16030.0,0.05
4,SO-20230101-004,2023-01-01,2023,1,1,January,Europe,Spain,Liam Carter,Online,Services,Consulting,Forecast Optimization,Pioneer Manufacturing,1,5775.3,3000.0,2775.3,0.07
5,SO-20230101-005,2023-01-01,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Automation,RPA,RPA Bot License,Vertex Finance,3,12300.0,7500.0,4800.0,0.0
6,SO-20230101-006,2023-01-01,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Data,Warehouse,SQL Warehouse Starter,Summit Foods,8,18720.0,12400.0,6320.0,0.1
7,SO-20230101-007,2023-01-01,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Data,Warehouse,SQL Warehouse Enterprise,Vertex Finance,1,6200.0,3600.0,2600.0,0.0
8,SO-20230101-008,2023-01-01,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Data,Warehouse,SQL Warehouse Enterprise,Zenith Logistics,3,17670.0,10800.0,6870.0,0.05
9,SO-20230102-001,2023-01-02,2023,1,1,January,North America,USA,Ava Brooks,Online,Software,BI,Power BI Pro,Bright Core Labs,7,7812.0,5040.0,2772.0,0.07
10,SO-20230102-002,2023-01-02,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Services,Consulting,Forecast Optimization,Atlas Telecom,5,31050.0,15000.0,16050.0,0.0
11,SO-20230102-003,2023-01-02,2023,1,1,January,North America,USA,Ava Brooks,Online,Platform,Cloud,Data Platform Subscription,Vertex Finance,6,45229.5,25800.0,19429.5,0.05
12,SO-20230102-004,2023-01-02,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Automation,RPA,RPA Bot License,Atlas Telecom,5,19475.0,12500.0,6975.0,0.05
13,SO-20230102-005,2023-01-02,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Software,BI,Power BI Pro,Vertex Finance,3,3600.0,2160.0,1440.0,0.0
14,SO-20230102-006,2023-01-02,2023,1,1,January,North America,USA,Ava Brooks,Direct,Platform,Cloud,Data Platform Subscription,Zenith Logistics,1,7935.0,4300.0,3635.0,0.0
15,SO-20230102-007,2023-01-02,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Data,Warehouse,SQL Warehouse Enterprise,Bright Core Labs,4,23560.0,14400.0,9160.0,0.05
16,SO-20230102-008,2023-01-02,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Platform,Cloud,ML Forecast Add-on,Vertex Finance,4,15400.8,8800.0,6600.8,0.07
17,SO-20230102-009,2023-01-02,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Automation,RPA,RPA Bot License,Nova Retail,1,3813.0,2500.0,1313.0,0.07
18,SO-20230102-010,2023-01-02,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Platform,Cloud,ML Forecast Add-on,Atlas Telecom,8,33120.0,17600.0,15520.0,0.0
19,SO-20230103-001,2023-01-03,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Services,Consulting,Forecast Optimization,Pioneer Manufacturing,3,17698.5,9000.0,8698.5,0.05
20,SO-20230103-002,2023-01-03,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,RPA Bot License,Summit Foods,3,11439.0,7500.0,3939.0,0.07
21,SO-20230103-003,2023-01-03,2023,1,1,January,North America,USA,Ava Brooks,Partner,Services,Consulting,Analytics Advisory,Nova Retail,1,4968.0,2600.0,2368.0,0.1
22,SO-20230103-004,2023-01-03,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Software,BI,Power BI Pro,Blue Peak Energy,6,6840.0,4320.0,2520.0,0.05
23,SO-20230103-005,2023-01-03,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Software,BI,Power BI Premium,Summit Foods,1,2976.0,1950.0,1026.0,0.07
24,SO-20230103-006,2023-01-03,2023,1,1,January,North America,USA,Ava Brooks,Direct,Data,Warehouse,SQL Warehouse Enterprise,Atlas Telecom,2,11780.0,7200.0,4580.0,0.05
25,SO-20230104-001,2023-01-04,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Automation,RPA,Intelligent Document Processing,Axis Health,7,36540.0,24850.0,11690.0,0.1
26,SO-20230104-002,2023-01-04,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Software,BI,Power BI Pro,Atlas Telecom,5,6000.0,3600.0,2400.0,0.0
27,SO-20230104-003,2023-01-04,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Software,BI,Power BI Pro,Summit Foods,4,4800.0,2880.0,1920.0,0.0
28,SO-20230104-004,2023-01-04,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Services,Consulting,Analytics Advisory,Pioneer Manufacturing,4,20976.0,10400.0,10576.0,0.05
29,SO-20230104-005,2023-01-04,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,Intelligent Document Processing,Blue Peak Energy,8,44080.0,28400.0,15680.0,0.05
30,SO-20230105-001,2023-01-05,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Services,Consulting,Forecast Optimization,Zenith Logistics,1,5899.5,3000.0,2899.5,0.05
31,SO-20230105-002,2023-01-05,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,Intelligent Document Processing,Axis Health,3,15660.0,10650.0,5010.0,0.1
32,SO-20230105-003,2023-01-05,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Data,Warehouse,SQL Warehouse Starter,Atlas Telecom,2,5044.0,3100.0,1944.0,0.03
33,SO-20230105-004,2023-01-05,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Software,BI,Power BI Pro,Blue Peak Energy,8,8640.0,5760.0,2880.0,0.1
34,SO-20230105-005,2023-01-05,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Data,Warehouse,SQL Warehouse Starter,Zenith Logistics,8,18720.0,12400.0,6320.0,0.1
35,SO-20230106-001,2023-01-06,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Automation,RPA,Intelligent Document Processing,Zenith Logistics,4,20880.0,14200.0,6680.0,0.1
36,SO-20230106-002,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,RPA Bot License,Urban Mobility Co,1,4100.0,2500.0,1600.0,0.0
37,SO-20230106-003,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Services,Consulting,Forecast Optimization,Urban Mobility Co,6,37260.0,18000.0,19260.0,0.0
38,SO-20230106-004,2023-01-06,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Platform,Cloud,Data Platform Subscription,Pioneer Manufacturing,3,22614.75,12900.0,9714.75,0.05
39,SO-20230106-005,2023-01-06,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Software,BI,Power BI Pro,Zenith Logistics,2,2400.0,1440.0,960.0,0.0
40,SO-20230106-006,2023-01-06,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Platform,Cloud,Data Platform Subscription,Atlas Telecom,3,22614.75,12900.0,9714.75,0.05
41,SO-20230106-007,2023-01-06,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Automation,RPA,RPA Bot License,Urban Mobility Co,7,26691.0,17500.0,9191.0,0.07
42,SO-20230106-008,2023-01-06,2023,1,1,January,North America,USA,Ava Brooks,Direct,Platform,Cloud,Data Platform Subscription,Axis Health,4,28566.0,17200.0,11366.0,0.1
43,SO-20230106-009,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Online,Automation,RPA,Intelligent Document Processing,Vertex Finance,2,11020.0,7100.0,3920.0,0.05
44,SO-20230106-010,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Data,Warehouse,SQL Warehouse Enterprise,Pioneer Manufacturing,8,49600.0,28800.0,20800.0,0.0
45,SO-20230106-011,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Data,Warehouse,SQL Warehouse Starter,Axis Health,7,18200.0,10850.0,7350.0,0.0
46,SO-20230106-012,2023-01-06,2023,1,1,January,Europe,Spain,Liam Carter,Online,Automation,RPA,RPA Bot License,Atlas Telecom,2,7380.0,5000.0,2380.0,0.1
47,SO-20230107-001,2023-01-07,2023,1,1,January,North America,USA,Ava Brooks,Partner,Software,BI,Power BI Pro,Summit Foods,3,3600.0,2160.0,1440.0,0.0
48,SO-20230107-002,2023-01-07,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Software,BI,Power BI Premium,Urban Mobility Co,8,24320.0,15600.0,8720.0,0.05
49,SO-20230107-003,2023-01-07,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Services,Consulting,Forecast Optimization,Vertex Finance,8,47196.0,24000.0,23196.0,0.05
50,SO-20230108-001,2023-01-08,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Automation,RPA,RPA Bot License,Atlas Telecom,4,16400.0,10000.0,6400.0,0.0
51,SO-20230108-002,2023-01-08,2023,1,1,January,North America,USA,Ava Brooks,Direct,Platform,Cloud,Data Platform Subscription,Axis Health,8,57132.0,34400.0,22732.0,0.1
52,SO-20230108-003,2023-01-08,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,RPA Bot License,Axis Health,5,20500.0,12500.0,8000.0,0.0
53,SO-20230108-004,2023-01-08,2023,1,1,January,North America,USA,Ava Brooks,Partner,Automation,RPA,RPA Bot License,Axis Health,2,8200.0,5000.0,3200.0,0.0
54,SO-20230108-005,2023-01-08,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Software,BI,Power BI Premium,Blue Peak Energy,7,21728.0,13650.0,8078.0,0.03
55,SO-20230109-001,2023-01-09,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Platform,Cloud,ML Forecast Add-on,Blue Peak Energy,1,3933.0,2200.0,1733.0,0.05
56,SO-20230109-002,2023-01-09,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Data,Warehouse,SQL Warehouse Starter,Nova Retail,1,2340.0,1550.0,790.0,0.1
